id;tweetid;guid;link;author;title;description;pubdate;source;favorite_count;retweet_count;lang;quoted_text;tweet_type;in_reply_to_screen_name;in_reply_to_user_id;in_reply_to_status_id;retweeted_screen_name;retweeted_user_id;retweeted_status_id;user_id;profile_image_url;user_statuses_count;user_friends_count;user_followers_count;user_created_at;user_bio;user_location;user_verified
1;1583282481188327424;https://twitter.com/tractrictruc/statuses/1583282481188327424;https://twitter.com/tractrictruc/statuses/1583282481188327424;tractrictruc;"RT @madHink: Hanya 1 Tips menghadapi kondisi ekonomi 2023:
PERBANYAK BELANJA, KALAU MAU INVEST, LANGSUNG AJA MODALIN KE UKM PRODUKTIF.

Kar…";"Hanya 1 Tips menghadapi kondisi ekonomi 2023:
PERBANYAK BELANJA, KALAU MAU INVEST, LANGSUNG AJA MODALIN KE UKM PRODUKTIF.

Karena berulang kali negara kita selamat dari resesi ekonomi dunia justru karena perilaku konsumtif warganya.";2022-10-20 22:22:14;Twitter for iPhone;0;1583;in;;retweet;;0;0;madHink;3284232205;1582924081942306816;734669341312974848;https://pbs.twimg.com/profile_images/1556505548173873152/oluvJrzR_normal.jpg;9087;436;197;2016-05-23 04:56:35;lone, lone, oh what a poor lonely soul;;
2;1583282456811442179;https://twitter.com/myouhaa_/statuses/1583282456811442179;https://twitter.com/myouhaa_/statuses/1583282456811442179;myouhaa_;Pengen beli tab , tapi takut tabungan gak cukup buat ngadepin resesi tahun depan 😔;Pengen beli tab , tapi takut tabungan gak cukup buat ngadepin resesi tahun depan 😔;2022-10-20 22:22:08;Twitter for Android;0;0;in;;original;;0;0;;0;0;1359845570945327104;https://pbs.twimg.com/profile_images/1531954069342134274/GILraUYO_normal.jpg;8244;51;12;2021-02-11 07:45:28;"harta, tahta, Yoo Yongha || anime enthu🤜🏻
#YOOYONGHA #1THE9 #WEi #유용하 #원더나인 #위아이 bukan akun mutualan";Kota Batam, Kepulauan Riau;
3;1583282379099017216;https://twitter.com/hari_krist12/statuses/1583282379099017216;https://twitter.com/hari_krist12/statuses/1583282379099017216;hari_krist12;RT @patrickabrhm: @IchaVarma Jadi inget dulu pada ngotot bilang 2012 kiamat, ampe dibikin film wkwk kemana ya skrg org2nya ? Ini skrg ngoto…;@IchaVarma Jadi inget dulu pada ngotot bilang 2012 kiamat, ampe dibikin film wkwk kemana ya skrg org2nya ? Ini skrg ngotot bilang 2023 resesi ekonomi semua org down ekonominya ampe gamampu beli beras wkwk. Tar liat aja taun depan. Tp org2 gini sih slow aja, nanti blg : kan sy cm ingetin lol;2022-10-20 22:21:49;Twitter Web App;0;1;in;;retweet;;0;0;patrickabrhm;563398387;1583281314802769920;241106217;https://pbs.twimg.com/profile_images/1576908937378508801/i97hyJfi_normal.jpg;10612;342;278;2011-01-21 08:38:21;what doesn't kill you makes you worse;Indonesia;
4;1583282371482112000;https://twitter.com/andhikabayu/statuses/1583282371482112000;https://twitter.com/andhikabayu/statuses/1583282371482112000;andhikabayu;"RT @tanganbelang_tb: 1 Milyar Pertama: Jualan Mimpi
Resesi Dunia Hancur: Jualan Ketakutan

Jualan hal yang intangible memang selalu mengunt…";"1 Milyar Pertama: Jualan Mimpi
Resesi Dunia Hancur: Jualan Ketakutan

Jualan hal yang intangible memang selalu menguntungkan. Apalagi untuk mereka yg mempunyai mindset dan perilaku sebagai ternak 😎";2022-10-20 22:21:47;Twitter for Android;0;362;in;;retweet;;0;0;tanganbelang_tb;3004551331;1582920741367910400;102591934;https://pbs.twimg.com/profile_images/1073626174994112512/lsvMhQDR_normal.jpg;73820;642;1074;2010-01-07 00:57:07;Passion for adventure,love to travel.;Bandung, Indonesia;
5;1583282321368965120;https://twitter.com/ibazlightyear/statuses/1583282321368965120;https://twitter.com/ibazlightyear/statuses/1583282321368965120;ibazlightyear;RT @AmmarGill: Wkwkwk.. Ini mah Kensington Avenue, Philadelphia. Mau resesi atau kagak isinya emang drug addicts sama homeless kabeh. 😂😂😂;Wkwkwk.. Ini mah Kensington Avenue, Philadelphia. Mau resesi atau kagak isinya emang drug addicts sama homeless kabeh. 😂😂😂 https://t.co/STv2i1mCHK;2022-10-20 22:21:36;Twitter for Android;0;3029;in;;quote;;0;0;AmmarGill;155950684;1582998913229148160;264734879;https://pbs.twimg.com/profile_images/1579534239472955393/01xv1ygD_normal.jpg;83948;1875;354;2011-03-12 06:10:49;;United States;
6;1583282176032112640;https://twitter.com/AwYesaya/statuses/1583282176032112640;https://twitter.com/AwYesaya/statuses/1583282176032112640;AwYesaya;"RESESI MULAI MELANDA BELAHAN BARAT DUNIA..!

WELL, BAGI YANG BERKECUKUPAN JANGAN SHOW FORCE DAN KURANGI HANG-OUT !

APALAGI ""APARAT KEPOLISIAN"", SAAT DI TEGUR OLEH PRESIDEN JOKO WIDODO.

MOHON ADA RASA EMPATI KE MEREKA YG
DLM KESULITAN EKONOMI.

@jokowi @ListyoSigitP @KPK_RI https://t.co/a9ax5oeuBt";"RESESI MULAI MELANDA BELAHAN BARAT DUNIA..!

WELL, BAGI YANG BERKECUKUPAN JANGAN SHOW FORCE DAN KURANGI HANG-OUT !

APALAGI ""APARAT KEPOLISIAN"", SAAT DI TEGUR OLEH PRESIDEN JOKO WIDODO.

MOHON ADA RASA EMPATI KE MEREKA YG
DLM KESULITAN EKONOMI.

@jokowi @ListyoSigitP @KPK_RI https://t.co/a9ax5oeuBt";2022-10-20 22:21:01;Twitter for Android;1;0;in;;original;;0;0;;0;0;1526353312370802688;https://pbs.twimg.com/profile_images/1582982434056208385/ATvKBLEC_normal.jpg;4858;1201;408;2022-05-16 20:06:45;"Jangan Diam, Kerjakan saja.✍👣

Apapun hasilnya..itulah Pria Sejati.";;
7;1583282175432347650;https://twitter.com/SkunkzDhana/statuses/1583282175432347650;https://twitter.com/SkunkzDhana/statuses/1583282175432347650;SkunkzDhana;@HukumDan @jokowi Mereka ini otak nya dimana sih, jelas2 krisis saat ini sedang dialami seluruh negara dan rata2 mata uang nya melemah, kok yang salah jokowi, jgn2 resesi di seluruh dunia tahun depan jug salah jokowi;@HukumDan @jokowi Mereka ini otak nya dimana sih, jelas2 krisis saat ini sedang dialami seluruh negara dan rata2 mata uang nya melemah, kok yang salah jokowi, jgn2 resesi di seluruh dunia tahun depan jug salah jokowi;2022-10-20 22:21:01;Twitter for Android;0;0;in;;reply;HukumDan;1182582278;1582977196716478464;;0;0;1136181941550452736;https://pbs.twimg.com/profile_images/1136182129161719808/bX-2c72w_normal.jpg;449;44;1;2019-06-05 04:04:18;nothing special;;
8;1583282118309793793;https://twitter.com/evandwizra/statuses/1583282118309793793;https://twitter.com/evandwizra/statuses/1583282118309793793;evandwizra;"RT @mascepp: Percakapan saya sama bini tentang resesi, beberapa hari yang lalu.

💁🏻‍♀️ Kalau resesi gimana ya?
🙎🏻‍♂️ Ya gitu
💁🏻‍♀️ Kita mes…";"Percakapan saya sama bini tentang resesi, beberapa hari yang lalu.

💁🏻‍♀️ Kalau resesi gimana ya?
🙎🏻‍♂️ Ya gitu
💁🏻‍♀️ Kita mesti ngapain?
🙎🏻‍♂️ Lanjutin hidup
💁🏻‍♀️ Emang apa yg bakal terjadi kalau resesi sih?
🙎🏻‍♂️ Kan udah pernah
💁🏻‍♀️ Kapan?
🙎🏻‍♂️ Ga sadar ya? Mirip lah, palingan ga kita sadari juga";2022-10-20 22:20:47;Twitter for Android;0;293;in;;retweet;;0;0;mascepp;88237073;1582902372182806528;193329338;https://pbs.twimg.com/profile_images/833027503488851968/rqhoNjxb_normal.jpg;261811;4173;994;2010-09-21 11:19:53;Life is really simple, but we insist on making it complicated. -Confucius;Indonesia;
9;1583282057064591361;https://twitter.com/nabil_alsrr/statuses/1583282057064591361;https://twitter.com/nabil_alsrr/statuses/1583282057064591361;nabil_alsrr;RT @_mardial_: Reaksi ku saat membaca isu resesi ekonomi dunia https://t.co/3v0Btstgv9;Reaksi ku saat membaca isu resesi ekonomi dunia https://t.co/3v0Btstgv9;2022-10-20 22:20:33;Twitter for Android;0;12;in;;retweet;;0;0;_mardial_;95369720;1583206087620055040;2523417282;https://pbs.twimg.com/profile_images/1578343942378369024/URl7WvD3_normal.jpg;24407;797;166;2014-05-25 16:40:54;/∆ alt;Seattle, WA;
10;1583281949291925506;https://twitter.com/DendaWanara/statuses/1583281949291925506;https://twitter.com/DendaWanara/statuses/1583281949291925506;DendaWanara;"Kehidupan disana-sini
Kini tengah dilanda depresi
Muda-mudi banyak yang mencari
Kepastian identitas diri

Resesi ekonomi
Dunia gelisah semakin nyata
Tuntutan hidup serba harmoni
Hanya mimpi belaka
#Resesi
#Chrisye";"Kehidupan disana-sini
Kini tengah dilanda depresi
Muda-mudi banyak yang mencari
Kepastian identitas diri

Resesi ekonomi
Dunia gelisah semakin nyata
Tuntutan hidup serba harmoni
Hanya mimpi belaka
#Resesi
#Chrisye";2022-10-20 22:20:07;Twitter for Android;1;0;in;;original;;0;0;;0;0;746098895315361792;https://pbs.twimg.com/profile_images/1512160541670010880/m4RuXiiI_normal.jpg;8537;774;520;2016-06-23 17:53:33;menanti mei;Indonesia;
