id;tweetid;guid;link;author;title;description;pubdate;source;favorite_count;retweet_count;lang;quoted_text;tweet_type;in_reply_to_screen_name;in_reply_to_user_id;in_reply_to_status_id;retweeted_screen_name;retweeted_user_id;retweeted_status_id;user_id;profile_image_url;user_statuses_count;user_friends_count;user_followers_count;user_created_at;user_bio;user_location;user_verified
1;1593409430779236352;https://twitter.com/nuey5/statuses/1593409430779236352;https://twitter.com/nuey5/statuses/1593409430779236352;nuey5;@RamlanArshad @khairyizwan @NepaRakat @NaratifRakyat Tbh ekonomi dunia mmg lg turun smua. Inflasi dan resesi dmana2. Akibat pandemi, perang yg ngakibatkan persediaan pangan turun,dll. Dlm keadaan seperti ini yg dibutuhkan mmg kesiapan masing2 negara itu sndiri menghadapinya baik dr pemimpin negara sampai ke rakyatnya.;@RamlanArshad @khairyizwan @NepaRakat @NaratifRakyat Tbh ekonomi dunia mmg lg turun smua. Inflasi dan resesi dmana2. Akibat pandemi, perang yg ngakibatkan persediaan pangan turun,dll. Dlm keadaan seperti ini yg dibutuhkan mmg kesiapan masing2 negara itu sndiri menghadapinya baik dr pemimpin negara sampai ke rakyatnya.;2022-11-17 20:03:07;Twitter for Android;0;0;in;;reply;RamlanArshad;1419447422065934337;1593400955407839232;;0;0;343392954;https://pbs.twimg.com/profile_images/1498236081162301440/Y0vTCZ_-_normal.jpg;1086;52;8;2011-07-27 10:17:14;Lagi ingin jd kuters lagi;;
2;1593409405659230209;https://twitter.com/iamyesssssh/statuses/1593409405659230209;https://twitter.com/iamyesssssh/statuses/1593409405659230209;iamyesssssh;RT @catchmeupid: Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Ru…;Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Rusia dilaporkan kontraksi alias minus 4% di kuartal III tahun 2022. https://t.co/kb0xk83Q86;2022-11-17 20:03:01;Twitter for Android;0;1383;in;;retweet;;0;0;catchmeupid;1162545299614662656;1593096143613100034;1166005045638262784;https://pbs.twimg.com/profile_images/1414970750096658442/cPaLTJPu_normal.jpg;4321;550;351;2019-08-26 11:10:53;;;
3;1593409235257524224;https://twitter.com/bayusigit13/statuses/1593409235257524224;https://twitter.com/bayusigit13/statuses/1593409235257524224;bayusigit13;RT @catchmeupid: Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Ru…;Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Rusia dilaporkan kontraksi alias minus 4% di kuartal III tahun 2022. https://t.co/kb0xk83Q86;2022-11-17 20:02:20;Twitter for Android;0;1383;in;;retweet;;0;0;catchmeupid;1162545299614662656;1593096143613100034;117043049;https://pbs.twimg.com/profile_images/1195238366721167360/Jx1n7uDM_normal.jpg;9437;411;291;2010-02-24 05:41:33;;;
4;1593409177342337025;https://twitter.com/berandasulsel/statuses/1593409177342337025;https://twitter.com/berandasulsel/statuses/1593409177342337025;berandasulsel;Pengusaha dan Pekerja mulai rasakan Ancaman Resesi Global https://t.co/1QOMOUYRX3;Pengusaha dan Pekerja mulai rasakan Ancaman Resesi Global https://t.co/1QOMOUYRX3;2022-11-17 20:02:06;WordPress.com;0;0;in;;original;;0;0;;0;0;1093000390692417537;https://pbs.twimg.com/profile_images/1333209577886687232/WUMO0vDK_normal.jpg;7793;29;92;2019-02-05 23:16:14;Media Daring Lokal Sulawesi Selatan, berisi dan beradab;South Sulawesi, Indonesia;
5;1593408889919180801;https://twitter.com/MirantiCintada/statuses/1593408889919180801;https://twitter.com/MirantiCintada/statuses/1593408889919180801;MirantiCintada;"RT @DM_N4BYL: Jika Bukan kita siapa lagi yang akan mencintai Bangsa ini ____

Masmen BUMN @erickthohir ditanya Majalah The Economist
Hal apa…";"Jika Bukan kita siapa lagi yang akan mencintai Bangsa ini ____

Masmen BUMN @erickthohir ditanya Majalah The Economist
Hal apa yg membuat yakin bahwa Indonesia tdk akan mengalami Resesi ?

Karena :
Indonesia punya Sumber Daya Alam yang banyak &amp; Market yang besar

#BangkitBersamaET https://t.co/MJzBWENO00";2022-11-17 20:00:58;Twitter for Android;0;4;in;;retweet;;0;0;DM_N4BYL;1379546070783430661;1593380679659950081;287507376;https://pbs.twimg.com/profile_images/1527531318170398721/UMeGlzgz_normal.jpg;40704;150;1405;2011-04-24 23:58:30;Do My Best;;
6;1593408003235270658;https://twitter.com/kirarachelsea/statuses/1593408003235270658;https://twitter.com/kirarachelsea/statuses/1593408003235270658;kirarachelsea;"RT @DM_N4BYL: Jika Bukan kita siapa lagi yang akan mencintai Bangsa ini ____

Masmen BUMN @erickthohir ditanya Majalah The Economist
Hal apa…";"Jika Bukan kita siapa lagi yang akan mencintai Bangsa ini ____

Masmen BUMN @erickthohir ditanya Majalah The Economist
Hal apa yg membuat yakin bahwa Indonesia tdk akan mengalami Resesi ?

Karena :
Indonesia punya Sumber Daya Alam yang banyak &amp; Market yang besar

#BangkitBersamaET https://t.co/MJzBWENO00";2022-11-17 19:57:26;Twitter for Android;0;4;in;;retweet;;0;0;DM_N4BYL;1379546070783430661;1593380679659950081;1377809135312412673;https://pbs.twimg.com/profile_images/1556717287314694144/m9AZfnsz_normal.jpg;74457;5817;7915;2021-04-01 22:24:43;sembilu yang lalu biarlah membiru dan berlaluu;DKI Jakarta, Indonesia;
7;1593407508626178048;https://twitter.com/abi_sasaLL/statuses/1593407508626178048;https://twitter.com/abi_sasaLL/statuses/1593407508626178048;abi_sasaLL;"RT @DM_N4BYL: Jika Bukan kita siapa lagi yang akan mencintai Bangsa ini ____

Masmen BUMN @erickthohir ditanya Majalah The Economist
Hal apa…";"Jika Bukan kita siapa lagi yang akan mencintai Bangsa ini ____

Masmen BUMN @erickthohir ditanya Majalah The Economist
Hal apa yg membuat yakin bahwa Indonesia tdk akan mengalami Resesi ?

Karena :
Indonesia punya Sumber Daya Alam yang banyak &amp; Market yang besar

#BangkitBersamaET https://t.co/MJzBWENO00";2022-11-17 19:55:28;Twitter for Android;0;4;in;;retweet;;0;0;DM_N4BYL;1379546070783430661;1593380679659950081;1216290368397836290;https://pbs.twimg.com/profile_images/1441546052897697795/Qv5DrIsa_normal.jpg;103510;4248;5011;2020-01-12 04:27:25;Perjalanan Tak Putus//#LaskarBerbagiKasih ____;;
8;1593406934052655104;https://twitter.com/rommelfox45/statuses/1593406934052655104;https://twitter.com/rommelfox45/statuses/1593406934052655104;rommelfox45;RT @Mentimoen: Milyaran dollar lenyap begitu saja ketika FTX - perusahaan crypto - bangkrut. Warga yg tabungan hari tua dalam FTX nangis da…;"Milyaran dollar lenyap begitu saja ketika FTX - perusahaan crypto - bangkrut. Warga yg tabungan hari tua dalam FTX nangis dah.

Semua itu pertanda buruk bagi datangnya resesi Amerika 2023. Ekonomi Amerika dibangun terlalu banyak diatas asset2 tidak jelas.
https://t.co/LDUCSnY2s6";2022-11-17 19:53:11;Twitter for Android;0;19;in;;retweet;;0;0;Mentimoen;736384867181547520;1593247581424844802;1449406373163253765;https://pbs.twimg.com/profile_images/1449407629713838082/d4Iw7peo_normal.jpg;590;104;4;2021-10-16 12:06:41;;;
9;1593406401275400192;https://twitter.com/Lanowynn/statuses/1593406401275400192;https://twitter.com/Lanowynn/statuses/1593406401275400192;Lanowynn;@ndagels Netijen indo bnr2 gabut bgt. Klo bu iriana prawatan glowing tar di julitin blg pake uang negara buat treatment, pas apa adanya gak di rawat di katain bibi. Ada aja lah. Dah mending mikir cara biar thn dpan resesi bisa bertahan idup aja dr pd julit2;@ndagels Netijen indo bnr2 gabut bgt. Klo bu iriana prawatan glowing tar di julitin blg pake uang negara buat treatment, pas apa adanya gak di rawat di katain bibi. Ada aja lah. Dah mending mikir cara biar thn dpan resesi bisa bertahan idup aja dr pd julit2;2022-11-17 19:51:04;Twitter for iPhone;0;0;in;;reply;ndagels;123483858;1593196109752827906;;0;0;1091578090424197120;https://pbs.twimg.com/profile_images/1592726952947113985/h7yvLZpT_normal.jpg;10778;4007;3970;2019-02-02 01:04:32;instagram @thesilverbats;Singapore;
10;1593406338150715393;https://twitter.com/susanoftheworld/statuses/1593406338150715393;https://twitter.com/susanoftheworld/statuses/1593406338150715393;susanoftheworld;"RT @AdeSyarifah8: Rusia resmi Resesi imbas perang Ukraina!
https://t.co/7RzoMYf4Fq";"Rusia resmi Resesi imbas perang Ukraina!
https://t.co/7RzoMYf4Fq";2022-11-17 19:50:49;Twitter for Android;0;9;in;;retweet;;0;0;AdeSyarifah8;1459901918562578440;1593256710038487040;1591780364426452992;https://pbs.twimg.com/profile_images/1591780441526132736/myjtOM0u_normal.jpg;27;27;6;2022-11-13 08:10:05;yang manis siapa yang punya;;
